query_split,query_row_index,query_image,query_sha256,query_phash,query_event,query_label,query_label_top,prior_split,prior_row_index,prior_image,prior_sha256,prior_phash,prior_event,prior_label,prior_label_top,phash_distance,nearest_match_count,same_event,same_informative_label,same_humanitarian_label,current_evaluation_eligible,review_status,pixel_corr_64,pixel_mae_64,histogram_cosine,query_width,query_height,prior_width,prior_height,same_dimensions,aspect_ratio_delta,clip_cosine_image,evidence_band,review_sheet,review_sheet_position,review_reason,review_basis,robust_exclude
test,10,data_image/hurricane_harvey/10_9_2017/907006307433148417_0.jpg,8afed2713efe0b9300364a0d7cf6e4b8d60b0f77bdf60f91afd3d084374019a1,079eceb56a6b4150,hurricane_harvey,informative,infrastructure_and_utility_damage,val,535,data_image/hurricane_harvey/27_8_2017/901646496713584640_0.jpg,f15d2feab0c8bb9ced508312d9e0af90d5053fa71632b03c3b8bba7b75c42ab2,079eceb56a6b4150,hurricane_harvey,informative,injured_or_dead_people,0,1,True,True,False,True,confirmed_near_duplicate,0.9999406220460316,0.0032194647938013,0.999424397945404,640,360,992,558,False,0.0,0.9771836400032043,moderate,moderate_03.jpg,18,"Pairwise visual review confirms the same image/graphic after resize, crop, compression, color adjustment, or text overlay.",pairwise_visual_contact_sheet_plus_quantitative_diagnostics,True
test,15,data_image/mexico_earthquake/1_10_2017/914407560442187776_0.jpg,e8e2a727f94aa535e9b7accfad1d8f9270d08c25813265283ea321580db3751c,06aeb6e7e06938e0,mexico_earthquake,not_informative,affected_individuals,train,4597,data_image/mexico_earthquake/24_9_2017/911769884434010114_0.jpg,ae159caeadb9589892cdc409eecabde33e6cfe3023afd79d052e3dbff8d85e62,06aeb6e7e06938e0,mexico_earthquake,informative,affected_individuals,0,1,True,False,True,True,confirmed_near_duplicate,0.999999537959068,2.1382249542512e-05,0.9999971389770508,742,432,742,432,True,0.0,0.9999966621398926,strong,strong_01.jpg,3,"Pairwise visual review confirms the same image/graphic after resize, crop, compression, color adjustment, or text overlay.",pairwise_visual_contact_sheet_plus_quantitative_diagnostics,True
test,35,data_image/mexico_earthquake/21_9_2017/910718933019320320_0.jpg,63760704fd58d3d4910f0d1a86154b6e64cc11bde62f2f2684276f1be4cf6a37,7dcc0abdf4c26228,mexico_earthquake,informative,infrastructure_and_utility_damage,train,10234,data_image/mexico_earthquake/20_9_2017/910525346943873024_0.jpg,e30a74ebc65063de5adbd06769cb3e4036c6b7c3b8366e61c8ecdecd174def2d,7dcc0abdf4c26228,mexico_earthquake,informative,infrastructure_and_utility_damage,0,1,True,True,True,True,confirmed_near_duplicate,0.9999639637657504,0.0029328789096325,0.9998105764389038,1024,683,620,413,False,0.0019427181746956,0.9779608249664308,moderate,moderate_03.jpg,13,"Pairwise visual review confirms the same image/graphic after resize, crop, compression, color adjustment, or text overlay.",pairwise_visual_contact_sheet_plus_quantitative_diagnostics,True
test,58,data_image/hurricane_harvey/5_9_2017/904864357997260800_0.jpg,abec541c4fcc20e50babfd9c9068f394f063ea1928ba8353fd7c01fdf1f17d97,5f7e3c7f0b214802,hurricane_harvey,informative,other_relevant_information,val,2230,data_image/hurricane_harvey/7_9_2017/905823299971817472_0.jpg,c4359303b205ee5dc023aa2eafe401e364516b315dc8c846367f79b9cd586ef8,5f7e3c7f0b214802,hurricane_harvey,informative,other_relevant_information,0,1,True,True,True,True,confirmed_near_duplicate,0.99999853840967,3.925398050341755e-05,0.999994933605194,420,305,420,305,True,0.0,0.9999855160713196,strong,strong_01.jpg,5,"Pairwise visual review confirms the same image/graphic after resize, crop, compression, color adjustment, or text overlay.",pairwise_visual_contact_sheet_plus_quantitative_diagnostics,True
test,76,data_image/hurricane_maria/5_10_2017/915987607032434688_0.jpg,8fc461d25dc90b05248660f1d7e061157888fae4c9cb60a70db6e51ec952bfe6,7cf163e471d0ea01,hurricane_maria,not_informative,not_humanitarian,val,897,data_image/hurricane_maria/5_10_2017/915986915509145601_0.jpg,b564947132be7fb3a98cdfccb9d93531fe1855a5fb5ddcd2de2b04a43da04764,7cf163e471d0ea01,hurricane_maria,not_informative,not_humanitarian,0,1,True,True,True,True,confirmed_near_duplicate,0.9999663342691432,0.0019125944236293,0.9979423880577089,640,640,640,640,True,0.0,0.9997961521148682,strong,strong_01.jpg,14,"Pairwise visual review confirms the same image/graphic after resize, crop, compression, color adjustment, or text overlay.",pairwise_visual_contact_sheet_plus_quantitative_diagnostics,True
test,107,data_image/hurricane_maria/29_9_2017/913766670375817218_0.jpg,dba32335418f12d3db14b79d8a2929ee3428fe3637ceb2d671f133e887b1286a,6f6dc8c8c50d1cb8,hurricane_maria,informative,other_relevant_information,train,1982,data_image/hurricane_maria/3_10_2017/915319640145911809_3.jpg,fbe94acf67174df65f25e32c8c6b561ea1cf6c6dfce40ac0b00ad1ec36cce8f1,6f6dc8c8c50d1cb8,hurricane_maria,informative,affected_individuals,0,1,True,True,False,True,confirmed_near_duplicate,0.9999775387650252,0.0016135621117427,0.9996122121810912,900,650,900,650,True,0.0,0.9983471632003784,strong,strong_02.jpg,10,"Pairwise visual review confirms the same image/graphic after resize, crop, compression, color adjustment, or text overlay.",pairwise_visual_contact_sheet_plus_quantitative_diagnostics,True
test,112,data_image/mexico_earthquake/24_9_2017/911882938584674304_0.jpg,b7c84288c0dbcfcec940808b683f9859704cf56f147cfd6aa9b0fbdea5fb8033,31e4d3688d1f4c0f,mexico_earthquake,informative,rescue_volunteering_or_donation_effort,train,5533,data_image/mexico_earthquake/20_9_2017/910619874216501248_0.jpg,4c063446a0c0445969aa46a407e32eb4e11fdd6cb25fcfa091413e8f9a85fea2,31e4d3688d1f4c0f,mexico_earthquake,informative,rescue_volunteering_or_donation_effort,0,1,True,True,True,True,confirmed_near_duplicate,0.9999997656295802,1.4042077054909896e-05,0.9999980330467224,898,628,898,628,True,0.0,0.9999992847442628,strong,strong_01.jpg,1,"Pairwise visual review confirms the same image/graphic after resize, crop, compression, color adjustment, or text overlay.",pairwise_visual_contact_sheet_plus_quantitative_diagnostics,True
test,113,data_image/hurricane_harvey/10_9_2017/907007895581081600_0.jpg,6d09d770c04d9485cd5e176b6894dd8194f691340f49f5a376e35887ad2ed2f9,1f74425bed04307b,hurricane_harvey,informative,other_relevant_information,train,8942,data_image/hurricane_harvey/9_9_2017/906631140223660032_0.jpg,e69f37f6d9581fafad1cc7e1be7783e0d0509a40e01a414a9d99aa57c3417b7a,1f74425bed04307b,hurricane_harvey,informative,other_relevant_information,0,2,True,True,True,True,confirmed_near_duplicate,0.9996527949156924,0.0036933850497007,0.9789741039276124,1200,627,1200,627,True,0.0,0.988539695739746,moderate,moderate_01.jpg,10,"Pairwise visual review confirms the same image/graphic after resize, crop, compression, color adjustment, or text overlay.",pairwise_visual_contact_sheet_plus_quantitative_diagnostics,True
test,180,data_image/hurricane_irma/18_9_2017/909875271456612352_0.jpg,e5e58ac49fc88227ff0916f9ca3eb68cd4d8da2b5779b479ace20c56e909872b,194966089d366dde,hurricane_irma,informative,infrastructure_and_utility_damage,train,6541,data_image/hurricane_harvey/7_9_2017/905732581005590528_0.jpg,035c9d1cda5b339e922203c20960212afa050bca21bd85fd57d2f7bd16619133,194966089d366dde,hurricane_harvey,informative,other_relevant_information,0,2,False,True,False,True,confirmed_near_duplicate,0.9998951502405766,0.0039997575804591,0.9976301193237304,935,583,985,615,False,0.0021475686454979,0.9736893177032472,moderate,moderate_04.jpg,10,"Pairwise visual review confirms the same image/graphic after resize, crop, compression, color adjustment, or text overlay.",pairwise_visual_contact_sheet_plus_quantitative_diagnostics,True
test,185,data_image/hurricane_irma/7_9_2017/905675466492837888_0.jpg,5e6a8987d26a163073bf1a8747a2f7c75e798cfaf4aeaf0560142d970fac5a1b,4eac51d193953e49,hurricane_irma,informative,infrastructure_and_utility_damage,val,1428,data_image/hurricane_irma/7_9_2017/905664172809117697_0.jpg,08c2e5647b6655bdd1108af413911864827189a51f13f49d025a4c857039d8a5,4eac51d193953e49,hurricane_irma,informative,infrastructure_and_utility_damage,0,1,True,True,True,True,confirmed_near_duplicate,0.9998354589146916,0.0026935255154967,0.9997354745864868,768,516,720,483,False,0.0023111367904087,0.9801373481750488,moderate,moderate_03.jpg,4,"Pairwise visual review confirms the same image/graphic after resize, crop, compression, color adjustment, or text overlay.",pairwise_visual_contact_sheet_plus_quantitative_diagnostics,True
test,188,data_image/hurricane_maria/7_11_2017/927701436699430912_0.jpg,5eadfcfbe732aa1b4b76b02e1d1fc3207444d909c2a7cd6838e824e7f71436cc,126d656e6196643b,hurricane_maria,informative,other_relevant_information,train,11956,data_image/hurricane_maria/10_11_2017/929020545194188800_0.jpg,9af923e819acb8a06eceee4737068829b9055558e04365048a972cc2e8dd8ccb,126d656e6196643b,hurricane_maria,informative,rescue_volunteering_or_donation_effort,0,1,True,True,False,True,confirmed_near_duplicate,0.9953755584648604,0.0185700058937072,0.9614536762237548,640,426,640,430,False,0.0139753248171197,0.9491074085235596,weak,weak_01.jpg,12,"Pairwise visual review confirms the same image/graphic after resize, crop, compression, color adjustment, or text overlay.",pairwise_visual_contact_sheet_plus_quantitative_diagnostics,True
test,252,data_image/hurricane_irma/18_9_2017/909868816695545857_0.jpg,e5578b98767776b7f1ea046ea88abf8e7eb647d0caa69c4e60afb2672def3aa7,5880df0fdc74832b,hurricane_irma,informative,infrastructure_and_utility_damage,val,1438,data_image/hurricane_irma/19_9_2017/910150747228172288_0.jpg,382a4584f7a5d091c6ea7458e602c2d8f766c3800800dad152957d9365c04221,5880df0fdc74832b,hurricane_irma,informative,infrastructure_and_utility_damage,0,1,True,True,True,True,confirmed_near_duplicate,0.9999551898216756,0.0035564743448048,0.9991583824157716,1140,759,1140,759,True,0.0,0.9926711916923524,strong,strong_04.jpg,10,"Pairwise visual review confirms the same image/graphic after resize, crop, compression, color adjustment, or text overlay.",pairwise_visual_contact_sheet_plus_quantitative_diagnostics,True
test,283,data_image/hurricane_maria/24_10_2017/922915063958200320_0.jpg,6bd9140022a75fa9c2e26c9661552bd0a2df72d811b3465d147e82d7814b9c6e,08f2ade39c6b5438,hurricane_maria,informative,not_humanitarian,train,3813,data_image/hurricane_maria/24_10_2017/922849411926913029_0.jpg,3cc5ae77d12d700f183308425054a6601c4f98e301c94374d5efdcdf36744aee,08f2ade39c6b5438,hurricane_maria,informative,infrastructure_and_utility_damage,0,5,True,True,False,True,confirmed_near_duplicate,0.99956468708119,0.006176917348057,0.9986904859542848,953,633,1200,800,False,0.0055292259083727,0.9915294647216796,strong,strong_04.jpg,20,"Pairwise visual review confirms the same image/graphic after resize, crop, compression, color adjustment, or text overlay.",pairwise_visual_contact_sheet_plus_quantitative_diagnostics,True
