split,row_index,image,image_sha256,phash
train,0,data_image/california_wildfires/10_10_2017/917791291823591425_1.jpg,8c7fc59875add9c92aaee293e9ba8c3c96c621a798fae88540ca965c6480c655,3582566fab45cac8
train,1,data_image/california_wildfires/10_10_2017/917791291823591425_0.jpg,3dad63f9c714582b6b31ae9d7579898433a88850b5e863a52743d46061fb5811,29bdb18391838bba
train,2,data_image/california_wildfires/10_10_2017/917793137925459968_0.jpg,ac3505495bb3e23dc201b9e45fbec79d81ad50db2933400e57a36ba2db3797cc,41c09cff33ecc483
train,3,data_image/california_wildfires/10_10_2017/917793137925459968_1.jpg,8c834d2b1a4e7b64fb3422eb509c687cb0c13ff3142974e77b7b0513dd4e60ca,540f689eb10fd668
train,4,data_image/california_wildfires/10_10_2017/917793137925459968_2.jpg,603004b35d310fbb84dd5a9e4c274a00cd12781289c1fa8932317566ac63a8bf,14a5757b4aa661b8
train,5,data_image/california_wildfires/10_10_2017/917815040962695168_1.jpg,2a70a5fe7330b224a567b629b9f65bfb8f98b3d3a944302692694786d5d802b9,48932b6db31bd268
train,6,data_image/california_wildfires/10_10_2017/917815040962695168_0.jpg,d8d59364afa16173ae2dbafd990fe7e9bb8178db21e5def63f7f1d11f3dfb525,64d919f61a24f196
train,7,data_image/california_wildfires/10_10_2017/917815040962695168_2.jpg,9e5d4a694e70ad6023be0818fd132902568913bcef9a38f2c01f87adefca5ec0,55b56a4ad29624cd
train,8,data_image/california_wildfires/10_10_2017/917828283047260161_0.jpg,a628f0848b2c36182f4208d87cb4943e89fff20f6c821c9fd3c0604d771d2f83,4014968f796b6a7a
train,9,data_image/california_wildfires/10_10_2017/917828283047260161_1.jpg,5ddd9e6023ff8026a2387f3caafde58601bfd289d3e018f60676e46e42c29218,38ed23293438adbc
train,10,data_image/california_wildfires/10_10_2017/917828283047260161_2.jpg,6c1abbf32520265c265331f743a8b4053cb2e37040b53b49f68b5da11a13fb81,012c361f1efe3896
train,11,data_image/california_wildfires/10_10_2017/917830092620836864_0.jpg,381d3150faffbe3b4794e5a249efa28b619c2aa5863e9ad969187f066d8261e3,21986e3756a732a5
train,12,data_image/california_wildfires/10_10_2017/917830092620836864_2.jpg,83d40ce13ba74927410627a95ac8d886309c55500b4b222df3a94ec67c41bac9,398d8df1b6664813
train,13,data_image/california_wildfires/10_10_2017/917830092620836864_1.jpg,81ac742854c7ef0d41b9e514882a4d127ddd15324227824ecc1495942a92ef21,58cd85ce8618fc87
train,14,data_image/california_wildfires/10_10_2017/917830092620836864_3.jpg,6b878fee035dd20340445d0f28d033f9d53631e351bc2eba10c0c088dab2a1c6,31200e0f26fed6d3
train,15,data_image/california_wildfires/10_10_2017/917832022017445888_0.jpg,c6481d8e31ac65f0a49f0c492ce7fe3f6700142bf89882f07b72836df8b40017,14c72f34d86b1d94
train,16,data_image/california_wildfires/10_10_2017/917832022017445888_2.jpg,30fe026856175b2906844109cc9c3bd81c9d9f0979aecda2da98e3925e3453c0,50972dca6425db27
train,17,data_image/california_wildfires/10_10_2017/917832022017445888_1.jpg,2cc205534478ff25a1a7a814c858e93ca0e40fcc5918842b45a302daa919268b,57bc2d43d63d41c0
train,18,data_image/california_wildfires/10_10_2017/917832022017445888_3.jpg,ec25d2624e145eeada8985c66fc7e339980e380ca4a2b5b725611c4055315367,54e12ace21d4bd2b
train,19,data_image/california_wildfires/10_10_2017/917834588814155776_0.jpg,2f34f2a4b61383f2c84b026405a71d9fabc0c372c725fd8c4ef9bb19370f9586,074a2fb4da65b1c2
train,20,data_image/california_wildfires/10_10_2017/917834588814155776_1.jpg,2f34f2a4b61383f2c84b026405a71d9fabc0c372c725fd8c4ef9bb19370f9586,074a2fb4da65b1c2
train,21,data_image/california_wildfires/10_10_2017/917839142880468994_0.jpg,c09989fe8f3e1aa0f61c733fd8ffde9d8ca05cae0d33e034d346a116c47b5dc5,75d4da85854c98e9
train,22,data_image/california_wildfires/10_10_2017/917839142880468994_1.jpg,8d19ade17ed66c6a313efb759bbfda1366a029460a29348946218222e062c5b8,07b9cae42d847936
train,23,data_image/california_wildfires/10_10_2017/917839142880468994_3.jpg,5a43a97024681394787a3feb0e8176a2a0eeb59d0c28d58c4bd9b77b7fcdcf0f,0e92628d5df2374a
train,24,data_image/california_wildfires/10_10_2017/917839142880468994_2.jpg,37069cc77067fe1ce07f7fcdd527315f4d0e8abd3703a2ffb53911fa358a62cd,40f03dafb254b28d
train,25,data_image/california_wildfires/11_10_2017/917949723167875077_0.jpg,691e933de7e4bd9d25eb1ca28d3a690b9efe151e0fd3c1646d75676c091da899,0b0311831b7bbd7a
train,26,data_image/california_wildfires/11_10_2017/917949723167875077_1.jpg,ed3e191555b9baf36dce7dc24d0eec11b342301454b092812f7377f43f1ddfb8,794c01372a0f3fe2
train,27,data_image/california_wildfires/11_10_2017/917954508231184385_0.jpg,a5ef7d21b687bcb0b357f96c6bc084d38b31c4e8b7cae8a251f5902067e1953b,0f28b857937c0f49
